,0
0,"Peter Piper picked a peck of pickled peppers. A peck of pickled peppers Peter Piper picked. If Peter Piper picked a peck of pickled peppers, Where's the peck of pickled peppers Peter Piper picked?"
1,"I saw Susie sitting in a shoe shine shop. Where she sits she shines, and where she shines she sits."
2,How many boards Could the Mongols hoard If the Mongol hordes got bored?
3,How can a clam cram in a clean cream can?
4,Send toast to ten tense stout saints' ten tall tents.
5,"Denise sees the fleece, Denise sees the fleas. At least Denise could sneeze and feed and freeze the fleas."
6,Coy knows pseudonoise codes.
7,"Sheena leads, Sheila needs."
8,The thirty-three thieves thought that they thrilled the throne throughout Thursday.
9,"Something in a thirty-acre thermal thicket of thorns and thistles thumped and thundered threatening the three-D thoughts of Matthew the thug - although, theatrically, it was only the thirteen-thousand thistles and thorns through the underneath of his thigh that the thirty year old thug thought of that morning."
10,Can you can a can as a canner can can a can?
11,Seth at Sainsbury's sells thick socks.
12,"You cuss, I cuss, we all cuss, for asparagus!"
13,Roberta ran rings around the Roman ruins.
14,Clean clams crammed in clean cans.
15,Six sick hicks nick six slick bricks with picks and sticks.
16,"I wish to wish the wish you wish to wish, but if you wish the wish the witch wishes, I won't wish the wish you wish to wish."
17,Stupid superstition!
18,"There was a fisherman named Fisher who fished for some fish in a fissure. Till a fish with a grin, pulled the fisherman in. Now they're fishing the fissure for Fisher."
19,World Wide Web
20,"To sit in solemn silence in a dull, dark dock,In a pestilential prison, with a life-long lock,Awaiting the sensation of a short, sharp shock,From a cheap and chippy chopper on a big black block!To sit in solemn silence in a dull, dark dock,In a pestilential prison, with a life-long lock,Awaiting the sensation of a short, sharp shock,From a cheap and chippy chopper on a big black block!A dull, dark dock, a life-long lock,A short, sharp shock, a big black block!To sit in solemn silence in a pestilential prison,And awaiting the sensationFrom a cheap and chippy chopper on a big black block!"
21,"Picky people pick Peter Pan Peanut-Butter, 'tis the peanut-butter picky people pick."
22,"If Stu chews shoes, should Stu choose the shoes he chews?"
23,Luke Luck likes lakes.Luke's duck likes lakes.Luke Luck licks lakes.Luck's duck licks lakes.Duck takes licks in lakes Luke Luck likes.Luke Luck takes licks in lakes duck likes.
24,Seventy seven benevolent elephants
25,There those thousand thinkers were thinking how did the other three thieves go through.
26,Santa's Short Suit Shrunk
27,I was born on a pirate ship
28,"I scream, you scream, we all scream for icecream!"
29,Wayne went to Wales to watch walruses.
30,"In 'ertford, 'ereford and 'ampshire, 'urricanes 'ardly Hever 'appen."
31,One-one was a race horse. Two-two was one too. One-one won one race. Two-two won one too.
32,Eleven benevolent elephants
33,"Celibate celebrant, celibate celebrant, celibate celebrant, ..."
34,Willy's real rear wheel
35,If Pickford's packers packed a packet of crisps would the packet of crisps that Pickford's packers packed survive for two and a half years?
36,Six sleek swans swam swiftly southwards
37,Gobbling gorgoyles gobbled gobbling goblins.
38,Did Dick Pickens prick his pinkie pickling cheap cling peaches in an inch of Pinch or framing his famed French finch photos?
39,Pirates Private Property
40,"What a terrible tongue twister, what a terrible tongue twister, what a terrible tongue twister..."
41,When you write copy you have the right to copyright the copy you write. ... continued here
42,A big black bug bit a big black dog on his big black nose!
43,Elizabeth's birthday is on the third Thursday of this month.
44,Ann and Andy's anniversary is in April.
45,Flash message!
46,"Frogfeet, flippers, swimfins."
47,"Hassock hassock, black spotted hassock. Black spot on a black back of a black spotted hassock."
48,How many cookies could a good cook cook If a good cook could cook cookies? A good cook could cook as much cookies as a good cook who could cook cookies.
49,"How much ground would a groundhog hog, if a groundhog could hog ground? A groundhog would hog all the ground he could hog, if a groundhog could hog ground."
50,"How much pot, could a pot roast roast, if a pot roast could roast pot."
51,"How much wood could Chuck Woods' woodchuck chuck, if Chuck Woods' woodchuck could and would chuck wood? If Chuck Woods' woodchuck could and would chuck wood, how much wood could and would Chuck Woods' woodchuck chuck? Chuck Woods' woodchuck would chuck, he would, as much as he could, and chuck as much wood as any woodchuck would, if a woodchuck could and would chuck wood."
52,Mary Mac's mother's making Mary Mac marry me. My mother's making me marry Mary Mac. Will I always be so Merry when Mary's taking care of me? Will I always be so merry when I marry Mary Mac?
53,"Mr. Tongue Twister tried to train his tongue to twist and turn, and twit an twat, to learn the letter T""."""
54,Pete's pa pete poked to the pea patch to pick a peck of peas for the poor pink pig in the pine hole pig-pen.
55,She saw Sherif's shoes on the sofa. But was she so sure she saw Sherif's shoes on the sofa?
56,"Through three cheese trees three free fleas flew. While these fleas flew, freezy breeze blew. Freezy breeze made these three trees freeze. Freezy trees made these trees' cheese freeze. That's what made these three free fleas sneeze."
57,Two tried and true tridents
58,rudder valve reversals
59,Birdie birdie in the sky laid a turdie in my eye. If cows could fly I'd have a cow pie in my eye.
60,How many cans can a cannibal nibble if a cannibal can nibble cans? As many cans as a cannibal can nibble if a cannibal can nibble cans.
61,"Thirty-three thirsty, thundering thoroughbreds thumped Mr. Thurber on Thursday."
62,Four furious friends fought for the phone.
63,Plymouth sleuths thwart Luther's slithering.
64,"Bobby Bippy bought a bat. Bobby Bippy bought a ball. With his bat Bob banged the ball Banged it bump against the wall But so boldly Bobby banged it That he burst his rubber ball Boo!"" cried Bobby Bad luck ball Bad luck Bobby"
65,"Black background, brown background."
66,"Why do you cry, Willy? Why do you cry? Why, Willy? Why, Willy? Why, Willy? Why?"
67,"Very well, very well, very well ..."
68,Tie twine to three tree twigs.
69,Rory the warrior and Roger the worrier were reared wrongly in a rural brewery.
70,"Mares eat oats and does eat oats, and little lambs eat ivy. A Kid will eat ivy too, wouldn't ewe?"
71,Three short sword sheaths.
72,Caution: Wide Right Turns
73,Rolling red wagons
74,Green glass globes glow greenly.
75,Robert Wayne Rutter
76,"I stood sadly on the silver steps of Burgess's fish sauce shop, mimicking him hiccuping, and wildly welcoming him within."
77,As I was in Arkansas I saw a saw that could out saw any saw I ever saw saw. If you happen to be in Arkansas and see a saw that can out saw the saw I saw saw I'd like to see the saw you saw saw.
78,black back bat
79,The queen in green screamed.
80,"How many berries could a bare berry carry, if a bare berry could carry berries? Well they can't carry berries (which could make you very wary) but a bare berry carried is more scary!"
81,What did you have for breakfast? - rubber balls and liquor! What did you have for lunch? - rubber balls and liquor! What did you have for dinner? - rubber balls and liquor! What do you do when your sister comes home? - rubber balls and liquor!
82,"Snap Crackel pop, Snap Crackel pop, Snap Crackel pop"
83,Six slimy snails sailed silently.
84,"I thought, I thought of thinking of thanking you."
85,Seven slick slimey snakes slowly sliding southward.
86,"Red Buick, blue Buick"
87,Roofs of mushrooms rarely mush too much.
88,He threw three balls.
89,The great Greek grape growers grow great Greek grapes.
90,Singing Sammy sung songs on sinking sand.
91,We're real rear wheels.
92,Rhys watched Ross switch his Irish wristwatch for a Swiss wristwatch.
93,I wish to wash my Irish wristwatch.
94,"Near an ear, a nearer ear, a nearly eerie ear."
95,On a lazy laser raiser lies a laser ray eraser.
96,"Scissors sizzle, thistles sizzle."
97,Tom threw Tim three thumbtacks.
98,How much caramel can a canny canonball cram in a camel if a canny canonball can cram caramel in a camel?
99,He threw three free throws.
100,Fresh French fried fly fritters
101,"Gig whip, gig whip, gig whip, ..."
102,I was born on a pirate ship.
103,2 Y's U R. 2 Y's U B. I C U R. 2 Y's 4 me!
104,Little Mike left his bike like Tike at Spike's.
105,Eddie edited it.
106,"Yellow butter, purple jelly, red jam, black bread. Spread it thick, say it quick! Yellow butter, purple jelly, red jam, black bread. Spread it thicker, say it quicker! Yellow butter, purple jelly, red jam, black bread. Don't eat with your mouth full!"
107,"Wow, race winners really want red wine right away!"
108,The ruddy widow really wants ripe watermelon and red roses when winter arrives.
109,I'll chew and chew until my jaws drop.
110,Triple Dickle
111,How many sheets could a sheet slitter slit if a sheet slitter could slit sheets?
112,"Supposed to be pistachio, supposed to be pistachio, supposed to be pistachio."
113,Chester Cheetah chews a chunk of cheep cheddar cheese.
114,"Real rock wall, real rock wall, real rock wall"
115,Argyle Gargoyle
116,"Peggy Babcock, Peggy Babcock, Peggy Babcock, ..."
117,"If you're keen on stunning kites and cunning stunts, buy a cunning stunning stunt kite."
118,Two tiny tigers take two taxis to town.
119,Sounding by sound is a sound method of sounding sounds.
120,Willie's really weary.
121,"Yally Bally had a jolly golliwog. Feeling folly, Yally Bally Bought his jolly golli' a dollie made of holly! The golli', feeling jolly, named the holly dollie, Polly. So Yally Bally's jolly golli's holly dollie Polly's also jolly!"
122,"Out in the pasture the nature watcher watches the catcher. While the catcher watches the pitcher who pitches the balls. Whether the temperature's up or whether the temperature's down, the nature watcher, the catcher and the pitcher are always around. The pitcher pitches, the catcher catches and the watcher watches. So whether the temperature's rises or whether the temperature falls the nature watcher just watches the catcher who's watching the pitcher who's watching the balls."
123,Tommy Tucker tried to tie Tammy's Turtles tie.
124,"John, where Peter had had had had"""
125,Excited executioner exercising his excising powers excessively.
126,Pail of ale aiding ailing Al's travails.
127,"Double bubble gum, bubbles double."
128,"If you can't can any candy can, how many candy cans can a candy canner can if he can can candy cans ?"
129,Octopus ocular optics.and A cat snaps a rat's paxwax.
130,This is the sixth zebra snoozing thoroughly.
131,"Salty broccoli, salty broccoli, salty broccoli ...."
132,"I saw Esau kissing Kate. I saw Esau,  he saw me, and she saw I saw Esau."
133,A slimey snake slithered down the sandy sahara.
134,Suzie Seaword's fish-sauce shop sells unsifted thistles for thistle-sifters to sift.
135,I eat eel while you peel eel
136,Nothing is worth thousands of deaths.
137,Casual clothes are provisional for leisurely trips across Asia.
138,"East Fife Four, Forfar Five"
139,Roy Wayne Roy Rogers Roy Rash
140,"11 was a racehorse,22 was 12,1111 race,22112."
141,"It's not the cough that carries you off, it's the coffin they carry you off in!"
142,She said she should sit.
143,"Mo mi mo me send me a toe, Me me mo mi get me a mole, Mo mi mo me send me a toe, Fe me mo mi get me a mole, Mister kister feet so sweet, Mister kister where will I eat !?"
144,"Will you, William? Will you, William? Will you, William? Can't you, don't you, won't you, William?"
145,I wish you were a fish in my dish
146,"She stood on the balcony, inexplicably mimicking him hiccuping, and amicably welcoming him in."
147,"The big black bug bit the big black bear, but the big black bear bit the big black bug back!"
148,Dust is a disk's worst enemy.
149,I see a sea down by the seashore. But which sea do you see down by the seashore?
150,Old Mr. Hunt had a cuddy punt Not a cuddy punt but a hunt punt cuddy.
151,"As one black bug, bled blue, black blood. The other black bug bled blue."
152,Mommy made me eat my M&Ms.
153,"I'm not the fig plucker, nor the fig plucker's son, but I'll pluck figs till the fig plucker comes."
154,A gazillion gigantic grapes gushed gradually giving gophers gooey guts.
155,"Aluminum, linoleum, molybdenum, aluminum, linoleum, molybdenum, aluminum, linoleum, molybdenum"
156,Thin grippy thick slippery.
157,"A tree toad loved a she-toad,Who lived up in a tree.He was a three-toed tree toad,But a two-toed toad was she.The three-toed tree toad tried to win,The two-toed she-toad's heart,For the three-toed tree toad loved the ground,That the two-toed tree toad trod.But the three-toed tree toad tried in vain.He couldn't please her whim.From her tree toad bower,With her two-toed power,The she-toad vetoed him."
158,The owner of the inside inn was inside his inside inn with his inside outside his inside inn.
159,"If you notice this notice, you will notice that this notice is not worth noticing."
160,"If you understand, say understand"". If you don't understand"
161,She sees cheese.
162,Brent Spence Bridge Clay Wade Bailey Bridge
163,Chukotko-Kamchatkan
164,There those thousand thinkers were thinking  where did those other three thieves go through.
165,Five frantic frogs fled from fifty fierce fishes.
166,"One smart fellow, he felt smart. Two smart fellows, they felt smart. Three smart fellows, they felt smart. Four smart fellows, they felt smart. Five smart fellows, they felt smart. Six smart fellows, they felt smart."
167,Seven sleazy shysters in sharkskin suits sold sheared sealskins to seasick sailors.
168,"I would if I could! But I can't, so I won't!"
169,But a harder thing still to do.
170,Love's a feeling you feel when you feel you're going to feel the feeling you've never felt before.
171,Silly sheep weep and sleep.
172,"Truly rural, truly rural, truly rural, ..."
173,"A turbot's not a burbot, for a turbot's a butt, but a burbot's not."
174,I know a boy named Tate who dined with his girl at eight eight. I'm unable to state what Tate ate at eight eight or what Tate's tête à tête ate at eight eight.
175,The seething sea ceaseth; thus the seething sea sufficeth us.
176,Real weird rear wheels
177,"I slit a sheet, a sheet I slit, upon a slitted sheet I sit."
178,A pessimistic pest exists amidst us.
179,Knife and a fork bottle and a cork that is the way you spell New York.
180,Five fuzzy French frogs Frolicked through the fields in France.
181,Two to two to Toulouse?
182,Swatch watch
183,"Dr. Johnson and Mr. Johnson, after great consideration, came to the conclusion that the Indian nation beyond the Indian Ocean is back in education because the chief occupation is cultivation."
184,Round and round the rugged rock the ragged rascal ran.
185,"Buckets of bug blood, buckets of bug blood, buckets of bug blood"
186,I'm a sock cutter and I cut socks. I'm a sock cutter and I cut socks. I'm a sock cutter and I cut socks.
187,If coloured caterpillars could change their colours constantly could they keep their coloured coat coloured properly?
188,"We won, we won, we won, we won, ..."
189,Thirty-three thousand people think that Thursday is their thirtieth birthday.
190,How much ground could a grounghog grind if a groundhog could grind ground?
191,How may saws could a see-saw saw if a see-saw could saw saws?
192,"As he gobbled the cakes on his plate, the greedy ape said as he ate, the greener green grapes are, the keener keen apes are to gobble green grape cakes, they're great!"
193,How much myrtle would a wood turtle hurdle if a wood turtle could hurdle myrtle? A wood turtle would hurdle as much myrtle as a wood turtle could hurdle if a wood turtle could hurdle myrtle.
194,Shut up the shutters and sit in the shop.
195,Rattle your bottles in Rollocks' van.
196,"A fly and flea flew into a flue, said the fly to the flea 'what shall we do?' 'let us fly' said the flea said the fly 'shall we flee' so they flew through a flaw in the flue."
197,"How much dew does a dewdrop drop If dewdrops do drop dew? They do drop, they do As do dewdrops drop If dewdrops do drop dew."
198,"If Kantie can tie a tie and untie a tie, why can't I tie a tie and untie a tie like Kantie can."
199,Bake big batches of bitter brown bread.
200,"But she as far surpasseth Sycorax, As great'st does least."
201,Bake big batches of brown blueberry bread.
202,She sits in her slip and sips Schlitz.
203,Which wristwatch is a Swiss wristwatch?
204,Whoever slit the sheets is a good sheet slitter.
205,Mummies make money.
206,"Crush grapes, grapes crush, crush grapes."
207,An elephant was asphyxiated in the asphalt.
208,A black bloke's back brake-block broke.
209,This is a zither.
210,"Fresh fried fish, Fish fresh fried, Fried fish fresh, Fish fried fresh."
211,There was a minimum of cinnamon in the aluminum pan.
212,"Really leery, rarely Larry."
213,Big black bugs bleed blue black blood but baby black bugs bleed blue blood.
214,Elizabeth has eleven elves in her elm tree.
215,Her whole right hand really hurts.
216,"Come, come, Stay calm, stay calm, No need for alarm, It only hums, It doesn't harm."
217,"Tie a knot, tie a knot. Tie a tight, tight knot. Tie a knot in the shape of a nought."
218,"Red blood, green blood"
219,I'm a sheet slitter. I slit sheets. I'm the sleekest sheet slitter that ever slit sheets.
220,Busy buzzing bumble bees.
221,"A lump of red leather, a red leather lump"
222,Nat the bat swat at Matt the gnat.
223,I shot the city sheriff. I shot the city sheriff. I shot the city sheriff.
224,A lady sees a pot-mender at work at his barrow in the street. Are you copper-bottoming 'em
225,"I am not a pheasant plucker, I'm a pheasant plucker's son but I'll be plucking pheasants When the pheasant plucker's gone."
