,Topic,Count,Name
0,-1,1047,-1_the_and_is_to
1,0,81,0_book_imaginary_police_dismisseth
2,1,79,1_pink_peter_piper_peppers
3,2,60,2_fish_fried_fresh_fritz
4,3,55,3_green_grapes_goose_geese
5,4,54,4_sheep_sick_sleep_sleeper
6,5,46,5_cross_real_across_stick
7,6,39,6_witch_wish_which_washing
8,7,39,7_thistles_thistle_thick_sifted
9,8,38,8_short_shorts_socks_sock
10,9,38,9_ship_ships_sailors_shipshape
11,10,36,10_fly_flew_fleas_flea
12,11,35,11_pheasant_fancy_broad_plucker
13,12,34,12_ski_dry_slope_slippery
14,13,34,13_wally_wayne_rabbit_rustlers
15,14,33,14_cheesy_pop_cha_cheese
16,15,32,15_sells_seashells_seashore_shells
17,16,32,16_shoes_shoe_sits_shines
18,17,28,17_sunshine_beast_york_west
19,18,25,18_clacks_kiss_quick_clarence
20,19,25,19_hottentot_tutor_taught_tot
21,20,25,20_dinosaur_us_brontosaurus_dinah
22,21,24,21_chips_chop_chip_shops
23,22,23,22_bread_biscuits_basket_baked
24,23,23,23_tree_toad_threetoed_toads
25,24,21,24_wristwatch_swiss_watch_wrist
26,25,21,25_him_sheila_welcoming_mimicking
27,26,21,26_cooks_cupcake_fan_cap
28,27,21,27_could_how_groundhog_many
29,28,20,28_twine_tim_twice_twin
30,29,19,29_cat_crept_crypt_kitty
31,30,19,30_eleven_elephants_elves_elevator
32,31,18,31_smart_felt_thieves_three
33,32,18,32_can_canner_cancan_cans
34,33,17,33_harry_cutting_undertaking_hairy
35,34,17,34_nick_sticks_six_slick
36,35,17,35_broke_back_blakes_cameron
37,36,17,36_thug_cloth_thorns_faiths
38,37,17,37_soldiers_suitable_shoulders_shoulder
39,38,16,38_glasses_glowing_glass_glow
40,39,16,39_whistle_whistles_kissle_wouldnt
41,40,16,40_swim_swam_raft_swan
42,41,16,41_tie_guy_guyed_guide
43,42,15,42_blood_bugs_bug_black
44,43,15,43_saw_wood_esau_seesaw
45,44,15,44_ear_hares_notes_ears
46,45,15,45_eight_eggs_easter_half
47,46,15,46_frank_freight_franks_tanks
48,47,15,47_bat_cricket_bobby_ball
49,48,14,48_liver_crow_river_raw
50,49,14,49_beet_beat_buzz_bud
51,50,13,50_sheet_slit_sheets_slitter
52,51,13,51_snakes_snake_slimy_slither
53,52,13,52_bubbles_betty_double_blows
54,53,13,53_tongue_tongues_twisters_terrible
55,54,13,54_yellow_yoyo_yokel_yoyos
56,55,13,55_sammy_sammys_sweat_freezer
57,56,12,56_soup_sore_sally_soak
58,57,12,57_roller_knee_deep_leg
59,58,12,58_chuck_woodchuck_dole_could
60,59,12,59_noodle_neighbours_nipped_nutmegs
61,60,12,60_paul_painted_potter_portraits
62,61,12,61_hammer_rufus_undertook_horses
63,62,11,62_coffee_copper_proper_cup
64,63,11,63_blue_blazer_billys_bind
